DateID,ID,RefGipfel,FileName Strava,Datum Start,Datum End,Month,Year,Saison,Typ,Art,Unterart,Org,Tage,Titel Strava,Remarks,Ziel,Ziel Typ,Route,öbernachtung,D,B,A,J,Weitere Teilnehmer,Anlass,Bemerkung,Distanz,Dauer,Schwierigkeit,Aufstieg,Abstieg,Links Routen,Links Fotos,Links,Fotos?,Album auf Google+?,Hikr Eintrag,Type,Link,,Datum Start,ID
D19780701,1000,#NV,19780701-070000-Hike.gpx,1.7.78,2.7.78,7,1978,1978 So,Sommer,Wandern,Wanderung,Privat,2,Wanderung FlÅelapass - VereinahÅtte,,VereinahÅtte,HÅtte,WÑgerhus - JîriflÅelafurgga - Berghaus Vereina - Monbiel,,x,,,,"Papa, Mama, Marianne",,,,,,,,,,,,,,,,,1.7.78,1000
D19840301,1001,153,19840301-070000-BackcountrySki.gpx,1.3.84,1.3.84,3,1984,1983/84 Wi,Winter,Skifahren,Skitour,GefÅhrt,1,Skitour Schilt,,Schilt,Gipfel,Probetour zur Skitourenwoche Simplon (ca. 3. Sek),,x,,,,Weitere,,,,,,,,,,,,,,,,,1.3.84,1001
D19850415,1004,154,#NV,15.4.85,15.4.85,4,1985,1985 Wi,Winter,Skifahren,Skitour,GefÅhrt,5,#NV,Not exported from Strava,u.a. Breithorn (Simplon),Gipfel,Teil der Skitourenwoche Simplon (ca. 3. Sek),,x,,,,Weitere,Skitourenwoche Simplon,,,,,,,,,,,,,,,,15.4.85,1004
D19880701,1005,1,19880701-060000-Hike.gpx,1.7.88,1.7.88,7,1988,1988 So,Sommer,Wandern,Alpintour,Privat,1,Wanderung Gross Mythen,,Grosser Mythen,Gipfel,Start in der Region Rickenbach - Holzegg - Grosser Mythen,,x,,,,Roli Gallati,,,,,,,,,,,,,,,,,1.7.88,1005
D19910701,1006,2,#NV,1.7.91,2.7.91,7,1991,1991 So,Sommer,Wandern,Alpintour,Privat,2,#NV,,Mount Fuji (Versuch),Gipfel,,,x,,,,Weitere,Privat,,,,,,,,,,,,,,,,1.7.91,1006
D19910901,1007,3,#NV,1.9.91,2.9.91,9,1991,1991 So,Sommer,Wandern,Alpintour,Privat,2,#NV,,Gunung Kinabalu,Gipfel,,,x,,,,Papa,Privat,,,,,,,,,,,,,,,,1.9.91,1007
D19920803,1008,#NV,#NV,3.8.92,3.8.92,8,1992,1992 So,Sommer,Wandern,Wanderung,Privat,3,#NV,Not exported from Strava; split into different days,Tessin,Rundtour,San Carlo - Robiei (Cap. Basodino) - Cap. Cristallina - Ossasco,,x,,,,alleine,,,,,,,,,,,,,,,,,3.8.92,1008
D19920805,1009,#NV,#NV,5.8.92,11.8.92,8,1992,1992 So,Sommer,Wandern,Wanderung,Privat,7,#NV,Not exported from Strava; split into different days,Tessin,Rundtour,Piotta - Cap. Cadlimo - Passo del Lucomagno - Cap. Boverina - Cima di Garina - Cap. Boverina - Campo Blenio,,x,,,,alleine,,,,,,,,,,,,,,,,,5.8.92,1009
D19930701,1010,#NV,#NV,1.7.93,5.7.93,7,1993,1993 So,Sommer,Sonstiges,Velotour,Privat,5,#NV,,Jura,Velotour,St. Cergue - Lac de Joux - Ste Croix - La Brevine - Les Brenets - La Chaux de Fonds (ungefÑhr),,x,x,,,,,,,,,,,,,,,,,,,,1.7.93,1010
D19940701,1011,#NV,#NV,1.7.94,2.7.94,7,1994,1994 So,Sommer,Wandern,Wanderung,Privat,2,#NV,Not exported from Strava; split into different days,Greinaebene,Rundtour,Vrin - Pass Diesrut - Cap. Scaletta - Campo Blenio ,,x,x,,,,,,,,,,,,,,,,,,,,1.7.94,1011
D19950701,1012,289,#NV,1.7.95,1.7.95,7,1995,1995 So,Sommer,Wandern,Wanderung,Privat,1,#NV,,Kleiner Aubrig,Gipfel,,,x,x,,,,,,,,,,,,,,,,,,,,1.7.95,1012
D19970715,1013,#NV,#NV,15.7.97,16.7.97,7,1997,1997 So,Sommer,Wandern,Alpintour,Privat,2,#NV,,TrifthÅtte,HÅtte,Schwendi - WindegghÅtte - TrifthÅtte,,x,,,,Marc und Cyril,,,,,,,,,,,,,,,,,15.7.97,1013
D19990615,1014,#NV,#NV,15.6.99,16.6.99,6,1999,1999 So,Sommer,Wandern,Hochtour,Ausbildung,2,#NV,,BovalhÅtte,Ausbildung,Ausbildung auf dem Morteratschgletscher,,x,,,,Billy,30. Geburtstag Billy,,,,,,,,,,,,,,,,15.6.99,1014
D20050813,1021,#NV,#NV,13.8.05,13.8.05,8,2005,2005 So,Sommer,Wandern,Wanderung,Privat,1,#NV,,Barfussweg,Rundtour,Barfussweg Wolzernalp,,x,x,x,x,,,,,,,,,,,,,,,,,,13.8.05,1021
D20050801,1023,#NV,#NV,1.8.05,2.8.05,8,2005,2005 So,Sommer,Wandern,Wanderung,Privat,2,#NV,,Seebenalpsee,Rundtour,Tannenboden - Seebenalpsee (öbernachtung) - Maschgenkamm - Tannenboden,,x,x,x,x,,,,,,,,,,,,,,,,,,1.8.05,1023
D20060107,1025,#NV,#NV,7.1.06,7.1.06,1,2006,2005/06 Wi,Winter,Wandern,Winterwanderung,Privat,1,#NV,,Scheidegg ZH,Wegpunkt,Kleine Scheidegg ZH,,x,x,x,x,"Marianne, Martin",,,,,,,,,,,,,,,,,7.1.06,1025
D20060212,1026,#NV,#NV,12.2.06,12.2.06,2,2006,2005/06 Wi,Winter,Wandern,Winterwanderung,Privat,1,#NV,,Boalp,Wegpunkt,Boalp,,x,x,x,x,,,,,,,,,,,,,,,,,,12.2.06,1026
D20060701,1031,#NV,#NV,1.7.06,2.7.06,7,2006,2006 So,Sommer,Wandern,Wanderung,Privat,2,#NV,,LeglerhÅtte,HÅtte,Garichti - Ober Stafel - P1925 - Sunnenberg Furgele - LeglerhÅtte (öbernachtung) - éngisee - Chamm - P1699 - P1375 - P938,,x,x,x,x,,,,,,,,,,,,,,,,,,1.7.06,1031
D20061105,1033,#NV,#NV,5.11.06,5.11.06,11,2006,2006 So,Sommer,Wandern,Wanderung,Privat,1,#NV,,ChrÅzegg,Wegpunkt,AtzmÑnig - ChrÅzegg - AtzmÑnig,,x,x,x,x,,,,,,,,,,,,,,,,,,5.11.06,1033
D20070721,1037,#NV,#NV,21.7.07,23.7.07,7,2007,2007 So,Sommer,Wandern,Wanderung,Privat,3,#NV,,Engelberg,Etappen,"Tag 1: Hasliberg Zwergenweg, öbernachtung Hotel Gletscherblick); Tag 2: Hasliberg - Engstlealp mit Bahn und Bus, Engstlenalp - Tannalp - P2025 - P2100 - Oberi Gumm - Jochpass (öbernachtung); Tag 3: Jochpass - Station TrÅebsee",,x,x,x,x,,,,,,,,,,,,,,,,,,21.7.07,1037
D20070915,1039,#NV,#NV,15.9.07,16.9.07,9,2007,2007 So,Sommer,Sonstiges,Velotour,Privat,2,#NV,,Murtenseeumrundung,Rundtour,Sugiez - Murten - Avenches (öbernachtung) - Vallamand-dessus - Mont Vully - Sugiez ,,x,x,x,x,,,,,,,,,,,,,,,,,,15.9.07,1039
D20071007,1040,#NV,#NV,7.10.07,9.10.07,10,2007,2007 So,Sommer,Wandern,Wanderung,Privat,3,#NV,,Leventina Hîhenweg,Hîhenweg,Altanca - Osco (öbernachtung) - Anzonico (öbernachtung) - Fahrt mit Bus mit Faido - mit Zug bis Ponte Brolla (öbernachtung) - Maggia,,x,x,x,x,,,,,,,,,,,,,,,,,,7.10.07,1040
D20080316,1044,#NV,#NV,16.3.08,16.3.08,3,2008,2008 So,Sommer,Sonstiges,Velotour,Privat,1,#NV,,Horgen,Velotour,Meilen - Horgen - WÑdenswil,,x,x,x,x,,,,,,,,,,,,,,,,,,16.3.08,1044
D20080801,1048,#NV,20080801-060000-Ride.gpx,1.8.08,3.8.08,8,2008,2008 So,Sommer,Sonstiges,Velotour,Privat,3,Velotour entlang Bielersee und Neuenburgersee in 3 Tagen,,Biel - Yverdon (Bielersee & Neuenburgersee),Velotour,Tag 1: Biel - Erlach; Tag 2: Erlach - Cudrefin; Tag 3: Cudrefin - Yverdon,,x,x,x,x,,Privat,,,,,,,,,,,,,,,,1.8.08,1048
D20080829,1049,#NV,20080829-060000-Ride.gpx,29.8.08,31.8.08,8,2008,2008 So,Sommer,Sonstiges,Velotour,Privat,3,Velofahrt Romanshorn - Schaffhausen in 3 Tagen,,Romanshorn - Schaffhausen,Velotour,Tag 1: Romanshorn - Kreuzlingen; Tag 2: Kreuzlingen - Mammern; Tag 3: Mammern - Schaffhausen,,x,x,x,x,,Privat,,,,,,,,,,,,,,,,29.8.08,1049
